geo,time,severe_mat_soc_deprivation_new
EA19,2015,7.9
EA19,2016,7.4
EA19,2017,6.3
EA19,2018,6.1
EA19,2019,5.8
EA19,2020,6.0
EA19,2021,5.6
EA20,2015,7.9
EA20,2016,7.4
EA20,2017,6.3
EA20,2018,6.1
EA20,2019,5.8
EA20,2020,5.9
EA20,2021,5.6
EA20,2022,6.0
EA20,2023,6.4
EA20,2024,6.1
EA20,2025,6.0
EL,2015,17.6
EL,2016,18.4
EL,2017,18.3
EL,2018,16.1
EL,2019,15.8
EL,2020,14.9
EL,2021,13.9
EL,2022,13.9
EL,2023,13.5
EL,2024,14.0
EL,2025,14.9
EU,2015,9.3
EU,2016,8.7
EU,2017,7.5
EU,2018,6.8
EU,2019,6.7
EU27_2007,2019,6.4
EU27_2020,2015,9.7
EU27_2020,2016,9.0
EU27_2020,2017,7.8
EU27_2020,2018,7.1
EU27_2020,2019,6.7
EU27_2020,2020,6.7
EU27_2020,2021,6.3
EU27_2020,2022,6.7
EU27_2020,2023,6.8
EU27_2020,2024,6.4
EU27_2020,2025,6.3
EU28,2015,9.3
EU28,2016,8.7
EU28,2017,7.5
EU28,2018,6.8
EU28,2019,6.7
