geo,geo_label,time,great_difficulty,difficulty,subjective_poverty
AL,Albania,2017,24.3,41.7,66.0
AL,Albania,2018,20.4,42.2,62.6
AL,Albania,2019,20.1,37.8,57.9
AL,Albania,2020,21.1,35.7,56.800000000000004
AL,Albania,2021,18.1,37.1,55.2
AL,Albania,2022,18.2,36.0,54.2
AL,Albania,2023,13.4,32.9,46.3
AT,Austria,2003,3.8,10.9,14.7
AT,Austria,2004,3.6,7.1,10.7
AT,Austria,2005,3.0,6.6,9.6
AT,Austria,2006,2.4,5.4,7.800000000000001
AT,Austria,2007,3.3,7.6,10.899999999999999
AT,Austria,2008,4.6,9.4,14.0
AT,Austria,2009,5.4,10.0,15.4
AT,Austria,2010,5.9,8.5,14.4
AT,Austria,2011,5.5,8.9,14.4
AT,Austria,2012,6.0,8.0,14.0
AT,Austria,2013,5.4,8.6,14.0
AT,Austria,2014,5.6,9.3,14.9
AT,Austria,2015,5.3,8.1,13.399999999999999
AT,Austria,2016,4.3,8.5,12.8
AT,Austria,2017,4.5,7.0,11.5
AT,Austria,2018,4.5,6.8,11.3
AT,Austria,2019,4.0,6.7,10.7
AT,Austria,2020,3.9,5.5,9.4
AT,Austria,2021,4.0,6.1,10.1
AT,Austria,2022,4.7,7.2,11.9
AT,Austria,2023,5.0,8.6,13.6
AT,Austria,2024,4.6,8.5,13.1
AT,Austria,2025,4.2,7.6,11.8
BE,Belgium,2003,6.6,11.0,17.6
BE,Belgium,2004,7.0,11.2,18.2
BE,Belgium,2005,6.0,11.1,17.1
BE,Belgium,2006,5.7,10.8,16.5
BE,Belgium,2007,5.6,9.7,15.299999999999999
BE,Belgium,2008,7.5,13.9,21.4
BE,Belgium,2009,8.3,12.8,21.1
BE,Belgium,2010,7.7,13.1,20.8
BE,Belgium,2011,8.8,12.1,20.9
BE,Belgium,2012,8.3,13.8,22.1
BE,Belgium,2013,8.8,12.2,21.0
BE,Belgium,2014,7.9,12.3,20.200000000000003
BE,Belgium,2015,8.6,11.9,20.5
BE,Belgium,2016,9.3,12.2,21.5
BE,Belgium,2017,8.6,12.3,20.9
BE,Belgium,2018,8.1,11.0,19.1
BE,Belgium,2019,8.8,10.3,19.1
BE,Belgium,2020,7.9,8.9,16.8
BE,Belgium,2021,6.6,9.0,15.6
BE,Belgium,2022,7.0,9.7,16.7
BE,Belgium,2023,6.1,9.4,15.5
BE,Belgium,2024,6.8,10.3,17.1
BE,Belgium,2025,6.1,9.4,15.5
BG,Bulgaria,2005,35.7,35.5,71.2
BG,Bulgaria,2006,35.7,35.5,71.2
BG,Bulgaria,2007,33.3,34.7,68.0
BG,Bulgaria,2008,31.1,32.7,63.800000000000004
BG,Bulgaria,2009,27.8,35.3,63.099999999999994
BG,Bulgaria,2010,29.0,36.0,65.0
BG,Bulgaria,2011,27.8,34.6,62.400000000000006
BG,Bulgaria,2012,32.8,33.1,65.9
BG,Bulgaria,2013,32.9,32.3,65.19999999999999
BG,Bulgaria,2014,31.7,31.5,63.2
BG,Bulgaria,2015,30.6,33.4,64.0
BG,Bulgaria,2016,28.9,32.8,61.699999999999996
BG,Bulgaria,2017,28.0,30.4,58.4
BG,Bulgaria,2018,26.5,29.4,55.9
BG,Bulgaria,2019,23.7,26.4,50.099999999999994
BG,Bulgaria,2020,18.6,25.1,43.7
BG,Bulgaria,2021,13.7,23.4,37.099999999999994
BG,Bulgaria,2022,14.0,26.3,40.3
BG,Bulgaria,2023,10.1,23.1,33.2
BG,Bulgaria,2024,10.7,26.7,37.4
BG,Bulgaria,2025,11.0,25.1,36.1
CH,Switzerland,2007,2.2,5.8,8.0
CH,Switzerland,2008,2.3,6.1,8.399999999999999
CH,Switzerland,2009,3.6,7.7,11.3
CH,Switzerland,2010,3.9,7.1,11.0
CH,Switzerland,2011,3.5,9.0,12.5
CH,Switzerland,2012,3.4,8.6,12.0
CH,Switzerland,2013,3.3,8.2,11.5
CH,Switzerland,2014,3.6,8.4,12.0
CH,Switzerland,2015,2.8,8.4,11.2
CH,Switzerland,2016,3.7,8.9,12.600000000000001
CH,Switzerland,2017,3.2,8.8,12.0
CH,Switzerland,2018,4.4,7.7,12.100000000000001
CH,Switzerland,2019,3.8,8.5,12.3
CH,Switzerland,2020,2.9,7.6,10.5
CH,Switzerland,2021,2.4,6.9,9.3
CH,Switzerland,2022,2.5,7.5,10.0
CH,Switzerland,2023,3.2,6.7,9.9
CH,Switzerland,2024,2.7,7.7,10.4
CY,Cyprus,2005,14.4,28.3,42.7
CY,Cyprus,2006,18.7,30.6,49.3
CY,Cyprus,2007,17.3,28.3,45.6
CY,Cyprus,2008,21.0,30.7,51.7
CY,Cyprus,2009,20.1,29.6,49.7
CY,Cyprus,2010,23.3,29.2,52.5
