geo,time,unemployment_rate
EA20,2009,9.7
EA20,2010,10.3
EA20,2011,10.3
EA20,2012,11.5
EA20,2013,12.2
EA20,2014,11.7
EA20,2015,11.0
EA20,2016,10.1
EA20,2017,9.1
EA20,2018,8.2
EA20,2019,7.6
EA20,2020,8.0
EA20,2021,7.8
EA20,2022,6.8
EA20,2023,6.6
EA20,2024,6.4
EA20,2025,6.4
EL,2009,9.8
EL,2010,12.9
EL,2011,18.1
EL,2012,24.8
EL,2013,27.8
EL,2014,26.6
EL,2015,25.0
EL,2016,23.9
EL,2017,21.8
EL,2018,19.7
EL,2019,17.9
EL,2020,17.6
EL,2021,14.7
EL,2022,12.5
EL,2023,11.1
EL,2024,10.1
EL,2025,8.9
EU27_2020,2009,9.3
EU27_2020,2010,10.1
EU27_2020,2011,10.1
EU27_2020,2012,11.1
EU27_2020,2013,11.6
EU27_2020,2014,11.0
EU27_2020,2015,10.2
EU27_2020,2016,9.3
EU27_2020,2017,8.3
EU27_2020,2018,7.4
EU27_2020,2019,6.8
EU27_2020,2020,7.2
EU27_2020,2021,7.1
EU27_2020,2022,6.2
EU27_2020,2023,6.1
EU27_2020,2024,6.0
EU27_2020,2025,6.0
