geo,time,unexpected_expenses_inability
EA19,2005,30.6
EA19,2006,33.2
EA19,2007,32.6
EA19,2008,31.9
EA19,2009,33.0
EA19,2010,33.7
EA19,2011,34.8
EA19,2012,36.2
EA19,2013,36.4
EA19,2014,36.1
EA19,2015,35.1
EA19,2016,34.6
EA19,2017,32.9
EA19,2018,31.9
EA19,2019,30.5
EA19,2020,32.8
EA19,2021,30.1
EA20,2014,36.3
EA20,2015,35.4
EA20,2016,34.9
EA20,2017,33.2
EA20,2018,32.2
EA20,2019,30.8
EA20,2020,33.0
EA20,2021,30.4
EA20,2022,31.8
EA20,2023,31.4
EA20,2024,30.6
EA20,2025,29.8
EL,2003,44.8
EL,2004,35.5
EL,2005,38.8
EL,2006,30.6
EL,2007,29.6
EL,2008,26.6
EL,2009,26.6
EL,2010,28.2
EL,2011,34.4
EL,2012,40.5
EL,2013,47.1
EL,2014,51.8
EL,2015,53.4
EL,2016,53.6
EL,2017,52.7
EL,2018,50.4
EL,2019,47.8
EL,2020,50.7
EL,2021,46.3
EL,2022,43.6
EL,2023,44.3
EL,2024,43.9
EL,2025,50.5
EU,2011,38.1
EU,2012,40.4
EU,2013,39.9
EU,2014,39.0
EU,2015,37.5
EU,2016,36.4
EU,2017,33.8
EU,2018,32.5
EU,2019,31.3
EU27_2007,2007,35.2
EU27_2007,2008,34.3
EU27_2007,2009,35.4
EU27_2007,2010,36.5
EU27_2007,2011,37.9
EU27_2007,2012,40.1
EU27_2007,2013,39.7
EU27_2007,2014,38.8
EU27_2007,2015,37.3
EU27_2007,2016,36.2
EU27_2007,2017,33.6
EU27_2007,2018,32.4
EU27_2007,2019,31.2
EU27_2020,2010,37.1
EU27_2020,2011,38.3
EU27_2020,2012,40.0
EU27_2020,2013,39.7
EU27_2020,2014,39.0
EU27_2020,2015,37.4
EU27_2020,2016,36.2
EU27_2020,2017,34.0
EU27_2020,2018,32.2
EU27_2020,2019,30.8
EU27_2020,2020,32.5
EU27_2020,2021,30.2
EU27_2020,2022,31.6
EU27_2020,2023,31.2
EU27_2020,2024,30.0
EU27_2020,2025,29.2
EU28,2010,36.8
EU28,2011,38.1
EU28,2012,40.4
EU28,2013,39.9
EU28,2014,39.0
EU28,2015,37.5
EU28,2016,36.4
EU28,2017,33.8
EU28,2018,32.5
EU28,2019,31.3
