freq,unit,nace_r2,na_item,geo,time,value,geo_label
A,THS_HW,TOTAL,SAL_DC,AT,2000,5348596.0,Austria
A,THS_HW,TOTAL,SAL_DC,AT,2001,5356324.0,Austria
A,THS_HW,TOTAL,SAL_DC,AT,2002,5328776.0,Austria
A,THS_HW,TOTAL,SAL_DC,AT,2003,5333909.0,Austria
A,THS_HW,TOTAL,SAL_DC,AT,2004,5379703.0,Austria
A,THS_HW,TOTAL,SAL_DC,AT,2005,5400249.0,Austria
A,THS_HW,TOTAL,SAL_DC,AT,2006,5445311.0,Austria
A,THS_HW,TOTAL,SAL_DC,AT,2007,5546383.0,Austria
A,THS_HW,TOTAL,SAL_DC,AT,2008,5669038.0,Austria
A,THS_HW,TOTAL,SAL_DC,AT,2009,5479549.0,Austria
A,THS_HW,TOTAL,SAL_DC,AT,2010,5530041.0,Austria
A,THS_HW,TOTAL,SAL_DC,AT,2011,5632350.0,Austria
A,THS_HW,TOTAL,SAL_DC,AT,2012,5657334.0,Austria
A,THS_HW,TOTAL,SAL_DC,AT,2013,5659864.0,Austria
A,THS_HW,TOTAL,SAL_DC,AT,2014,5701859.0,Austria
A,THS_HW,TOTAL,SAL_DC,AT,2015,5670837.0,Austria
A,THS_HW,TOTAL,SAL_DC,AT,2016,5807793.0,Austria
A,THS_HW,TOTAL,SAL_DC,AT,2017,5870998.0,Austria
A,THS_HW,TOTAL,SAL_DC,AT,2018,5999493.0,Austria
A,THS_HW,TOTAL,SAL_DC,AT,2019,6120617.0,Austria
A,THS_HW,TOTAL,SAL_DC,AT,2020,5542384.0,Austria
A,THS_HW,TOTAL,SAL_DC,AT,2021,5849014.0,Austria
A,THS_HW,TOTAL,SAL_DC,AT,2022,6016584.0,Austria
A,THS_HW,TOTAL,SAL_DC,AT,2023,6078869.0,Austria
A,THS_HW,TOTAL,SAL_DC,AT,2024,6095247.0,Austria
A,THS_HW,TOTAL,SAL_DC,BE,2000,4972572.0,Belgium
A,THS_HW,TOTAL,SAL_DC,BE,2001,5047263.0,Belgium
A,THS_HW,TOTAL,SAL_DC,BE,2002,5091848.0,Belgium
A,THS_HW,TOTAL,SAL_DC,BE,2003,5115718.0,Belgium
A,THS_HW,TOTAL,SAL_DC,BE,2004,5154657.0,Belgium
A,THS_HW,TOTAL,SAL_DC,BE,2005,5208745.0,Belgium
A,THS_HW,TOTAL,SAL_DC,BE,2006,5299569.0,Belgium
A,THS_HW,TOTAL,SAL_DC,BE,2007,5401896.0,Belgium
A,THS_HW,TOTAL,SAL_DC,BE,2008,5469073.0,Belgium
A,THS_HW,TOTAL,SAL_DC,BE,2009,5340199.0,Belgium
A,THS_HW,TOTAL,SAL_DC,BE,2010,5384430.0,Belgium
A,THS_HW,TOTAL,SAL_DC,BE,2011,5494777.0,Belgium
A,THS_HW,TOTAL,SAL_DC,BE,2012,5488274.0,Belgium
A,THS_HW,TOTAL,SAL_DC,BE,2013,5450186.0,Belgium
A,THS_HW,TOTAL,SAL_DC,BE,2014,5455278.0,Belgium
A,THS_HW,TOTAL,SAL_DC,BE,2015,5484316.0,Belgium
A,THS_HW,TOTAL,SAL_DC,BE,2016,5571869.0,Belgium
A,THS_HW,TOTAL,SAL_DC,BE,2017,5667791.0,Belgium
A,THS_HW,TOTAL,SAL_DC,BE,2018,5766679.0,Belgium
A,THS_HW,TOTAL,SAL_DC,BE,2019,5851468.0,Belgium
A,THS_HW,TOTAL,SAL_DC,BE,2020,5462654.0,Belgium
A,THS_HW,TOTAL,SAL_DC,BE,2021,5784260.0,Belgium
A,THS_HW,TOTAL,SAL_DC,BE,2022,6038773.0,Belgium
A,THS_HW,TOTAL,SAL_DC,BE,2023,6082408.0,Belgium
A,THS_HW,TOTAL,SAL_DC,BE,2024,6068983.0,Belgium
A,THS_HW,TOTAL,SAL_DC,BG,2000,3934009.0,Bulgaria
A,THS_HW,TOTAL,SAL_DC,BG,2001,3898358.0,Bulgaria
A,THS_HW,TOTAL,SAL_DC,BG,2002,3902292.0,Bulgaria
A,THS_HW,TOTAL,SAL_DC,BG,2003,4004837.0,Bulgaria
A,THS_HW,TOTAL,SAL_DC,BG,2004,4138132.0,Bulgaria
A,THS_HW,TOTAL,SAL_DC,BG,2005,4244755.0,Bulgaria
A,THS_HW,TOTAL,SAL_DC,BG,2006,4401588.0,Bulgaria
A,THS_HW,TOTAL,SAL_DC,BG,2007,4584575.0,Bulgaria
A,THS_HW,TOTAL,SAL_DC,BG,2008,4844775.0,Bulgaria
A,THS_HW,TOTAL,SAL_DC,BG,2009,4568342.0,Bulgaria
A,THS_HW,TOTAL,SAL_DC,BG,2010,4364855.0,Bulgaria
A,THS_HW,TOTAL,SAL_DC,BG,2011,4293163.0,Bulgaria
A,THS_HW,TOTAL,SAL_DC,BG,2012,4216767.0,Bulgaria
A,THS_HW,TOTAL,SAL_DC,BG,2013,4170122.0,Bulgaria
A,THS_HW,TOTAL,SAL_DC,BG,2014,4159906.0,Bulgaria
A,THS_HW,TOTAL,SAL_DC,BG,2015,4200309.0,Bulgaria
A,THS_HW,TOTAL,SAL_DC,BG,2016,4271290.0,Bulgaria
A,THS_HW,TOTAL,SAL_DC,BG,2017,4284960.0,Bulgaria
A,THS_HW,TOTAL,SAL_DC,BG,2018,4322918.0,Bulgaria
A,THS_HW,TOTAL,SAL_DC,BG,2019,4390383.0,Bulgaria
A,THS_HW,TOTAL,SAL_DC,BG,2020,4180063.0,Bulgaria
A,THS_HW,TOTAL,SAL_DC,BG,2021,4246030.0,Bulgaria
A,THS_HW,TOTAL,SAL_DC,BG,2022,4271629.0,Bulgaria
A,THS_HW,TOTAL,SAL_DC,BG,2023,4504957.0,Bulgaria
A,THS_HW,TOTAL,SAL_DC,BG,2024,4432933.0,Bulgaria
A,THS_HW,TOTAL,SAL_DC,CY,2000,422933.0,Cyprus
A,THS_HW,TOTAL,SAL_DC,CY,2001,437666.0,Cyprus
A,THS_HW,TOTAL,SAL_DC,CY,2002,446597.0,Cyprus
A,THS_HW,TOTAL,SAL_DC,CY,2003,456138.0,Cyprus
A,THS_HW,TOTAL,SAL_DC,CY,2004,462787.0,Cyprus
A,THS_HW,TOTAL,SAL_DC,CY,2005,475671.0,Cyprus
A,THS_HW,TOTAL,SAL_DC,CY,2006,500755.0,Cyprus
A,THS_HW,TOTAL,SAL_DC,CY,2007,555989.0,Cyprus
A,THS_HW,TOTAL,SAL_DC,CY,2008,603271.0,Cyprus
A,THS_HW,TOTAL,SAL_DC,CY,2009,603636.0,Cyprus
A,THS_HW,TOTAL,SAL_DC,CY,2010,623772.0,Cyprus
A,THS_HW,TOTAL,SAL_DC,CY,2011,632537.0,Cyprus
A,THS_HW,TOTAL,SAL_DC,CY,2012,614654.0,Cyprus
A,THS_HW,TOTAL,SAL_DC,CY,2013,565854.0,Cyprus
A,THS_HW,TOTAL,SAL_DC,CY,2014,553772.0,Cyprus
A,THS_HW,TOTAL,SAL_DC,CY,2015,567974.0,Cyprus
A,THS_HW,TOTAL,SAL_DC,CY,2016,601759.0,Cyprus
A,THS_HW,TOTAL,SAL_DC,CY,2017,630294.0,Cyprus
A,THS_HW,TOTAL,SAL_DC,CY,2018,665754.0,Cyprus
