freq,unit,coicop,geo,time,value,geo_label
A,INX_A_AVG,CP00,AT,2000,75.02,Austria
A,INX_A_AVG,CP00,AT,2001,76.74,Austria
A,INX_A_AVG,CP00,AT,2002,78.04,Austria
A,INX_A_AVG,CP00,AT,2003,79.05,Austria
A,INX_A_AVG,CP00,AT,2004,80.6,Austria
A,INX_A_AVG,CP00,AT,2005,82.3,Austria
A,INX_A_AVG,CP00,AT,2006,83.69,Austria
A,INX_A_AVG,CP00,AT,2007,85.53,Austria
A,INX_A_AVG,CP00,AT,2008,88.29,Austria
A,INX_A_AVG,CP00,AT,2009,88.64,Austria
A,INX_A_AVG,CP00,AT,2010,90.14,Austria
A,INX_A_AVG,CP00,AT,2011,93.35,Austria
A,INX_A_AVG,CP00,AT,2012,95.75,Austria
A,INX_A_AVG,CP00,AT,2013,97.77,Austria
A,INX_A_AVG,CP00,AT,2014,99.2,Austria
A,INX_A_AVG,CP00,AT,2015,100.0,Austria
A,INX_A_AVG,CP00,AT,2016,100.97,Austria
A,INX_A_AVG,CP00,AT,2017,103.22,Austria
A,INX_A_AVG,CP00,AT,2018,105.41,Austria
A,INX_A_AVG,CP00,AT,2019,106.98,Austria
A,INX_A_AVG,CP00,AT,2020,108.47,Austria
A,INX_A_AVG,CP00,AT,2021,111.46,Austria
A,INX_A_AVG,CP00,AT,2022,121.07,Austria
A,INX_A_AVG,CP00,AT,2023,130.4,Austria
A,INX_A_AVG,CP00,AT,2024,134.21,Austria
A,INX_A_AVG,CP00,BE,2000,74.96,Belgium
A,INX_A_AVG,CP00,BE,2001,76.78,Belgium
A,INX_A_AVG,CP00,BE,2002,77.97,Belgium
A,INX_A_AVG,CP00,BE,2003,79.16,Belgium
A,INX_A_AVG,CP00,BE,2004,80.63,Belgium
A,INX_A_AVG,CP00,BE,2005,82.67,Belgium
A,INX_A_AVG,CP00,BE,2006,84.6,Belgium
A,INX_A_AVG,CP00,BE,2007,86.13,Belgium
A,INX_A_AVG,CP00,BE,2008,90.0,Belgium
A,INX_A_AVG,CP00,BE,2009,89.99,Belgium
A,INX_A_AVG,CP00,BE,2010,92.09,Belgium
A,INX_A_AVG,CP00,BE,2011,95.18,Belgium
A,INX_A_AVG,CP00,BE,2012,97.68,Belgium
A,INX_A_AVG,CP00,BE,2013,98.9,Belgium
A,INX_A_AVG,CP00,BE,2014,99.38,Belgium
A,INX_A_AVG,CP00,BE,2015,100.0,Belgium
A,INX_A_AVG,CP00,BE,2016,101.77,Belgium
A,INX_A_AVG,CP00,BE,2017,104.03,Belgium
A,INX_A_AVG,CP00,BE,2018,106.44,Belgium
A,INX_A_AVG,CP00,BE,2019,107.77,Belgium
A,INX_A_AVG,CP00,BE,2020,108.23,Belgium
A,INX_A_AVG,CP00,BE,2021,111.71,Belgium
A,INX_A_AVG,CP00,BE,2022,123.26,Belgium
A,INX_A_AVG,CP00,BE,2023,126.07,Belgium
A,INX_A_AVG,CP00,BE,2024,131.52,Belgium
A,INX_A_AVG,CP00,BG,2000,54.08,Bulgaria
A,INX_A_AVG,CP00,BG,2001,58.06,Bulgaria
A,INX_A_AVG,CP00,BG,2002,61.44,Bulgaria
A,INX_A_AVG,CP00,BG,2003,62.88,Bulgaria
A,INX_A_AVG,CP00,BG,2004,66.75,Bulgaria
