freq,wstatus,sex,age,unit,geo,time,value,geo_label
A,EMP,T,Y_GE18,PC,AT,2003,7.7,Austria
A,EMP,T,Y_GE18,PC,AT,2004,7.3,Austria
A,EMP,T,Y_GE18,PC,AT,2005,6.8,Austria
A,EMP,T,Y_GE18,PC,AT,2006,6.4,Austria
A,EMP,T,Y_GE18,PC,AT,2007,6.1,Austria
A,EMP,T,Y_GE18,PC,AT,2008,8.5,Austria
A,EMP,T,Y_GE18,PC,AT,2009,8.2,Austria
A,EMP,T,Y_GE18,PC,AT,2010,7.5,Austria
A,EMP,T,Y_GE18,PC,AT,2011,7.6,Austria
A,EMP,T,Y_GE18,PC,AT,2012,8.1,Austria
A,EMP,T,Y_GE18,PC,AT,2013,7.9,Austria
A,EMP,T,Y_GE18,PC,AT,2014,7.2,Austria
A,EMP,T,Y_GE18,PC,AT,2015,7.9,Austria
A,EMP,T,Y_GE18,PC,AT,2016,8.3,Austria
A,EMP,T,Y_GE18,PC,AT,2017,7.7,Austria
A,EMP,T,Y_GE18,PC,AT,2018,8.0,Austria
A,EMP,T,Y_GE18,PC,AT,2019,7.6,Austria
A,EMP,T,Y_GE18,PC,AT,2020,7.2,Austria
A,EMP,T,Y_GE18,PC,AT,2021,7.5,Austria
A,EMP,T,Y_GE18,PC,AT,2022,8.2,Austria
A,EMP,T,Y_GE18,PC,AT,2023,7.6,Austria
A,EMP,T,Y_GE18,PC,AT,2024,7.6,Austria
A,EMP,T,Y_GE18,PC,AT,2025,8.9,Austria
A,EMP,T,Y_GE18,PC,BE,2003,6.5,Belgium
A,EMP,T,Y_GE18,PC,BE,2004,4.0,Belgium
A,EMP,T,Y_GE18,PC,BE,2005,3.9,Belgium
A,EMP,T,Y_GE18,PC,BE,2006,4.1,Belgium
A,EMP,T,Y_GE18,PC,BE,2007,4.3,Belgium
A,EMP,T,Y_GE18,PC,BE,2008,4.8,Belgium
A,EMP,T,Y_GE18,PC,BE,2009,4.6,Belgium
A,EMP,T,Y_GE18,PC,BE,2010,4.5,Belgium
A,EMP,T,Y_GE18,PC,BE,2011,4.2,Belgium
A,EMP,T,Y_GE18,PC,BE,2012,4.5,Belgium
A,EMP,T,Y_GE18,PC,BE,2013,4.4,Belgium
A,EMP,T,Y_GE18,PC,BE,2014,4.8,Belgium
A,EMP,T,Y_GE18,PC,BE,2015,4.6,Belgium
A,EMP,T,Y_GE18,PC,BE,2016,4.8,Belgium
A,EMP,T,Y_GE18,PC,BE,2017,5.0,Belgium
A,EMP,T,Y_GE18,PC,BE,2018,5.1,Belgium
A,EMP,T,Y_GE18,PC,BE,2019,4.8,Belgium
A,EMP,T,Y_GE18,PC,BE,2020,4.2,Belgium
A,EMP,T,Y_GE18,PC,BE,2021,3.9,Belgium
A,EMP,T,Y_GE18,PC,BE,2022,3.4,Belgium
A,EMP,T,Y_GE18,PC,BE,2023,4.7,Belgium
A,EMP,T,Y_GE18,PC,BE,2024,4.3,Belgium
A,EMP,T,Y_GE18,PC,BE,2025,4.1,Belgium
A,EMP,T,Y_GE18,PC,BG,2006,5.4,Bulgaria
A,EMP,T,Y_GE18,PC,BG,2007,5.8,Bulgaria
A,EMP,T,Y_GE18,PC,BG,2008,7.5,Bulgaria
A,EMP,T,Y_GE18,PC,BG,2009,7.4,Bulgaria
A,EMP,T,Y_GE18,PC,BG,2010,7.7,Bulgaria
A,EMP,T,Y_GE18,PC,BG,2011,8.2,Bulgaria
A,EMP,T,Y_GE18,PC,BG,2012,7.4,Bulgaria
A,EMP,T,Y_GE18,PC,BG,2013,7.2,Bulgaria
A,EMP,T,Y_GE18,PC,BG,2014,9.2,Bulgaria
A,EMP,T,Y_GE18,PC,BG,2015,7.7,Bulgaria
A,EMP,T,Y_GE18,PC,BG,2016,11.4,Bulgaria
A,EMP,T,Y_GE18,PC,BG,2017,9.9,Bulgaria
A,EMP,T,Y_GE18,PC,BG,2018,9.9,Bulgaria
A,EMP,T,Y_GE18,PC,BG,2019,8.9,Bulgaria
A,EMP,T,Y_GE18,PC,BG,2020,9.6,Bulgaria
A,EMP,T,Y_GE18,PC,BG,2021,10.0,Bulgaria
A,EMP,T,Y_GE18,PC,BG,2022,9.7,Bulgaria
A,EMP,T,Y_GE18,PC,BG,2023,11.4,Bulgaria
A,EMP,T,Y_GE18,PC,BG,2024,11.8,Bulgaria
A,EMP,T,Y_GE18,PC,BG,2025,11.5,Bulgaria
A,EMP,T,Y_GE18,PC,CY,2005,6.5,Cyprus
A,EMP,T,Y_GE18,PC,CY,2006,7.2,Cyprus
A,EMP,T,Y_GE18,PC,CY,2007,6.3,Cyprus
A,EMP,T,Y_GE18,PC,CY,2008,6.3,Cyprus
A,EMP,T,Y_GE18,PC,CY,2009,6.8,Cyprus
A,EMP,T,Y_GE18,PC,CY,2010,7.3,Cyprus
A,EMP,T,Y_GE18,PC,CY,2011,7.3,Cyprus
