freq,unit,na_item,geo,time,value,geo_label
A,CP_MPPS_EU27_2020,NLPR_HW,AT,2000,28.8,Austria
A,CP_MPPS_EU27_2020,NLPR_HW,AT,2001,29.2,Austria
A,CP_MPPS_EU27_2020,NLPR_HW,AT,2002,30.5,Austria
A,CP_MPPS_EU27_2020,NLPR_HW,AT,2003,31.6,Austria
A,CP_MPPS_EU27_2020,NLPR_HW,AT,2004,32.9,Austria
A,CP_MPPS_EU27_2020,NLPR_HW,AT,2005,34.6,Austria
A,CP_MPPS_EU27_2020,NLPR_HW,AT,2006,36.0,Austria
A,CP_MPPS_EU27_2020,NLPR_HW,AT,2007,37.1,Austria
A,CP_MPPS_EU27_2020,NLPR_HW,AT,2008,37.8,Austria
A,CP_MPPS_EU27_2020,NLPR_HW,AT,2009,37.7,Austria
A,CP_MPPS_EU27_2020,NLPR_HW,AT,2010,38.8,Austria
A,CP_MPPS_EU27_2020,NLPR_HW,AT,2011,39.8,Austria
A,CP_MPPS_EU27_2020,NLPR_HW,AT,2012,41.5,Austria
A,CP_MPPS_EU27_2020,NLPR_HW,AT,2013,42.3,Austria
A,CP_MPPS_EU27_2020,NLPR_HW,AT,2014,42.8,Austria
A,CP_MPPS_EU27_2020,NLPR_HW,AT,2015,44.9,Austria
A,CP_MPPS_EU27_2020,NLPR_HW,AT,2016,45.4,Austria
A,CP_MPPS_EU27_2020,NLPR_HW,AT,2017,46.0,Austria
A,CP_MPPS_EU27_2020,NLPR_HW,AT,2018,47.0,Austria
A,CP_MPPS_EU27_2020,NLPR_HW,AT,2019,47.5,Austria
A,CP_MPPS_EU27_2020,NLPR_HW,AT,2020,49.8,Austria
A,CP_MPPS_EU27_2020,NLPR_HW,AT,2021,51.2,Austria
A,CP_MPPS_EU27_2020,NLPR_HW,AT,2022,56.0,Austria
A,CP_MPPS_EU27_2020,NLPR_HW,AT,2023,58.4,Austria
A,CP_MPPS_EU27_2020,NLPR_HW,AT,2024,60.0,Austria
A,CP_MPPS_EU27_2020,NLPR_HW,BE,2000,36.2,Belgium
A,CP_MPPS_EU27_2020,NLPR_HW,BE,2001,37.2,Belgium
A,CP_MPPS_EU27_2020,NLPR_HW,BE,2002,38.6,Belgium
A,CP_MPPS_EU27_2020,NLPR_HW,BE,2003,39.5,Belgium
A,CP_MPPS_EU27_2020,NLPR_HW,BE,2004,40.8,Belgium
A,CP_MPPS_EU27_2020,NLPR_HW,BE,2005,42.2,Belgium
A,CP_MPPS_EU27_2020,NLPR_HW,BE,2006,43.0,Belgium
A,CP_MPPS_EU27_2020,NLPR_HW,BE,2007,44.1,Belgium
