freq,nace_r2,wstatus,worktime,age,sex,unit,geo,time,value,geo_label
A,TOTAL,EMP,FT,Y20-64,T,HR,AT,2008,43.0,Austria
A,TOTAL,EMP,FT,Y20-64,T,HR,AT,2009,42.2,Austria
A,TOTAL,EMP,FT,Y20-64,T,HR,AT,2010,42.1,Austria
A,TOTAL,EMP,FT,Y20-64,T,HR,AT,2011,42.2,Austria
A,TOTAL,EMP,FT,Y20-64,T,HR,AT,2012,41.8,Austria
A,TOTAL,EMP,FT,Y20-64,T,HR,AT,2013,41.6,Austria
A,TOTAL,EMP,FT,Y20-64,T,HR,AT,2014,41.4,Austria
A,TOTAL,EMP,FT,Y20-64,T,HR,AT,2015,41.0,Austria
A,TOTAL,EMP,FT,Y20-64,T,HR,AT,2016,41.1,Austria
A,TOTAL,EMP,FT,Y20-64,T,HR,AT,2017,40.8,Austria
A,TOTAL,EMP,FT,Y20-64,T,HR,AT,2018,40.9,Austria
A,TOTAL,EMP,FT,Y20-64,T,HR,AT,2019,40.8,Austria
A,TOTAL,EMP,FT,Y20-64,T,HR,AT,2020,38.8,Austria
A,TOTAL,EMP,FT,Y20-64,T,HR,AT,2021,38.7,Austria
A,TOTAL,EMP,FT,Y20-64,T,HR,AT,2022,38.8,Austria
A,TOTAL,EMP,FT,Y20-64,T,HR,AT,2023,38.7,Austria
A,TOTAL,EMP,FT,Y20-64,T,HR,AT,2024,39.1,Austria
A,TOTAL,EMP,FT,Y20-64,T,HR,AT,2025,39.0,Austria
A,TOTAL,EMP,FT,Y20-64,T,HR,BE,2008,40.8,Belgium
A,TOTAL,EMP,FT,Y20-64,T,HR,BE,2009,40.8,Belgium
A,TOTAL,EMP,FT,Y20-64,T,HR,BE,2010,41.2,Belgium
A,TOTAL,EMP,FT,Y20-64,T,HR,BE,2011,41.3,Belgium
A,TOTAL,EMP,FT,Y20-64,T,HR,BE,2012,41.0,Belgium
A,TOTAL,EMP,FT,Y20-64,T,HR,BE,2013,41.2,Belgium
A,TOTAL,EMP,FT,Y20-64,T,HR,BE,2014,41.0,Belgium
A,TOTAL,EMP,FT,Y20-64,T,HR,BE,2015,41.2,Belgium
A,TOTAL,EMP,FT,Y20-64,T,HR,BE,2016,41.2,Belgium
A,TOTAL,EMP,FT,Y20-64,T,HR,BE,2017,40.3,Belgium
A,TOTAL,EMP,FT,Y20-64,T,HR,BE,2018,40.2,Belgium
A,TOTAL,EMP,FT,Y20-64,T,HR,BE,2019,40.2,Belgium
A,TOTAL,EMP,FT,Y20-64,T,HR,BE,2020,39.1,Belgium
A,TOTAL,EMP,FT,Y20-64,T,HR,BE,2021,38.3,Belgium
A,TOTAL,EMP,FT,Y20-64,T,HR,BE,2022,38.2,Belgium
A,TOTAL,EMP,FT,Y20-64,T,HR,BE,2023,38.1,Belgium
A,TOTAL,EMP,FT,Y20-64,T,HR,BE,2024,37.8,Belgium
A,TOTAL,EMP,FT,Y20-64,T,HR,BE,2025,37.9,Belgium
A,TOTAL,EMP,FT,Y20-64,T,HR,BG,2008,41.4,Bulgaria
A,TOTAL,EMP,FT,Y20-64,T,HR,BG,2009,40.7,Bulgaria
A,TOTAL,EMP,FT,Y20-64,T,HR,BG,2010,40.9,Bulgaria
A,TOTAL,EMP,FT,Y20-64,T,HR,BG,2011,40.6,Bulgaria
A,TOTAL,EMP,FT,Y20-64,T,HR,BG,2012,40.5,Bulgaria
A,TOTAL,EMP,FT,Y20-64,T,HR,BG,2013,40.4,Bulgaria
A,TOTAL,EMP,FT,Y20-64,T,HR,BG,2014,40.5,Bulgaria
A,TOTAL,EMP,FT,Y20-64,T,HR,BG,2015,40.5,Bulgaria
A,TOTAL,EMP,FT,Y20-64,T,HR,BG,2016,40.6,Bulgaria
A,TOTAL,EMP,FT,Y20-64,T,HR,BG,2017,40.4,Bulgaria
A,TOTAL,EMP,FT,Y20-64,T,HR,BG,2018,40.2,Bulgaria
A,TOTAL,EMP,FT,Y20-64,T,HR,BG,2019,40.0,Bulgaria
A,TOTAL,EMP,FT,Y20-64,T,HR,BG,2020,39.7,Bulgaria
A,TOTAL,EMP,FT,Y20-64,T,HR,BG,2021,39.7,Bulgaria
A,TOTAL,EMP,FT,Y20-64,T,HR,BG,2022,39.4,Bulgaria
A,TOTAL,EMP,FT,Y20-64,T,HR,BG,2023,39.2,Bulgaria
A,TOTAL,EMP,FT,Y20-64,T,HR,BG,2024,39.2,Bulgaria
A,TOTAL,EMP,FT,Y20-64,T,HR,BG,2025,38.9,Bulgaria
A,TOTAL,EMP,FT,Y20-64,T,HR,CY,2008,40.4,Cyprus
A,TOTAL,EMP,FT,Y20-64,T,HR,CY,2009,40.1,Cyprus
A,TOTAL,EMP,FT,Y20-64,T,HR,CY,2010,40.6,Cyprus
A,TOTAL,EMP,FT,Y20-64,T,HR,CY,2011,40.6,Cyprus
A,TOTAL,EMP,FT,Y20-64,T,HR,CY,2012,40.8,Cyprus
A,TOTAL,EMP,FT,Y20-64,T,HR,CY,2013,40.7,Cyprus
A,TOTAL,EMP,FT,Y20-64,T,HR,CY,2014,40.5,Cyprus
A,TOTAL,EMP,FT,Y20-64,T,HR,CY,2015,40.4,Cyprus
A,TOTAL,EMP,FT,Y20-64,T,HR,CY,2016,40.8,Cyprus
A,TOTAL,EMP,FT,Y20-64,T,HR,CY,2017,40.7,Cyprus
A,TOTAL,EMP,FT,Y20-64,T,HR,CY,2018,40.2,Cyprus
A,TOTAL,EMP,FT,Y20-64,T,HR,CY,2019,39.9,Cyprus
A,TOTAL,EMP,FT,Y20-64,T,HR,CY,2020,39.5,Cyprus
A,TOTAL,EMP,FT,Y20-64,T,HR,CY,2021,39.5,Cyprus
A,TOTAL,EMP,FT,Y20-64,T,HR,CY,2022,39.7,Cyprus
A,TOTAL,EMP,FT,Y20-64,T,HR,CY,2023,40.0,Cyprus
A,TOTAL,EMP,FT,Y20-64,T,HR,CY,2024,39.5,Cyprus
A,TOTAL,EMP,FT,Y20-64,T,HR,CY,2025,39.1,Cyprus
A,TOTAL,EMP,FT,Y20-64,T,HR,CZ,2008,42.3,Czechia
A,TOTAL,EMP,FT,Y20-64,T,HR,CZ,2009,41.6,Czechia
A,TOTAL,EMP,FT,Y20-64,T,HR,CZ,2010,41.6,Czechia
A,TOTAL,EMP,FT,Y20-64,T,HR,CZ,2011,41.4,Czechia
A,TOTAL,EMP,FT,Y20-64,T,HR,CZ,2012,41.1,Czechia
A,TOTAL,EMP,FT,Y20-64,T,HR,CZ,2013,40.6,Czechia
A,TOTAL,EMP,FT,Y20-64,T,HR,CZ,2014,40.4,Czechia
A,TOTAL,EMP,FT,Y20-64,T,HR,CZ,2015,40.2,Czechia
A,TOTAL,EMP,FT,Y20-64,T,HR,CZ,2016,40.5,Czechia
A,TOTAL,EMP,FT,Y20-64,T,HR,CZ,2017,40.3,Czechia
A,TOTAL,EMP,FT,Y20-64,T,HR,CZ,2018,40.2,Czechia
A,TOTAL,EMP,FT,Y20-64,T,HR,CZ,2019,40.1,Czechia
A,TOTAL,EMP,FT,Y20-64,T,HR,CZ,2020,38.9,Czechia
A,TOTAL,EMP,FT,Y20-64,T,HR,CZ,2021,39.3,Czechia
A,TOTAL,EMP,FT,Y20-64,T,HR,CZ,2022,38.7,Czechia
A,TOTAL,EMP,FT,Y20-64,T,HR,CZ,2023,38.9,Czechia
A,TOTAL,EMP,FT,Y20-64,T,HR,CZ,2024,39.1,Czechia
A,TOTAL,EMP,FT,Y20-64,T,HR,CZ,2025,38.9,Czechia
A,TOTAL,EMP,FT,Y20-64,T,HR,DE,2008,42.2,Germany
A,TOTAL,EMP,FT,Y20-64,T,HR,DE,2009,41.4,Germany
A,TOTAL,EMP,FT,Y20-64,T,HR,DE,2010,41.7,Germany
A,TOTAL,EMP,FT,Y20-64,T,HR,DE,2011,41.9,Germany
A,TOTAL,EMP,FT,Y20-64,T,HR,DE,2012,41.7,Germany
A,TOTAL,EMP,FT,Y20-64,T,HR,DE,2013,41.5,Germany
A,TOTAL,EMP,FT,Y20-64,T,HR,DE,2014,41.4,Germany
A,TOTAL,EMP,FT,Y20-64,T,HR,DE,2015,41.3,Germany
A,TOTAL,EMP,FT,Y20-64,T,HR,DE,2016,41.3,Germany
A,TOTAL,EMP,FT,Y20-64,T,HR,DE,2017,40.9,Germany
A,TOTAL,EMP,FT,Y20-64,T,HR,DE,2018,40.8,Germany
A,TOTAL,EMP,FT,Y20-64,T,HR,DE,2019,40.7,Germany
A,TOTAL,EMP,FT,Y20-64,T,HR,DE,2020,39.4,Germany
A,TOTAL,EMP,FT,Y20-64,T,HR,DE,2021,39.6,Germany
A,TOTAL,EMP,FT,Y20-64,T,HR,DE,2022,39.5,Germany
A,TOTAL,EMP,FT,Y20-64,T,HR,DE,2023,39.0,Germany
A,TOTAL,EMP,FT,Y20-64,T,HR,DE,2024,38.9,Germany
A,TOTAL,EMP,FT,Y20-64,T,HR,DE,2025,38.9,Germany
A,TOTAL,EMP,FT,Y20-64,T,HR,DK,2008,39.2,Denmark
A,TOTAL,EMP,FT,Y20-64,T,HR,DK,2009,39.2,Denmark
A,TOTAL,EMP,FT,Y20-64,T,HR,DK,2010,39.6,Denmark
A,TOTAL,EMP,FT,Y20-64,T,HR,DK,2011,39.9,Denmark
A,TOTAL,EMP,FT,Y20-64,T,HR,DK,2012,39.6,Denmark
A,TOTAL,EMP,FT,Y20-64,T,HR,DK,2013,39.5,Denmark
A,TOTAL,EMP,FT,Y20-64,T,HR,DK,2014,39.4,Denmark
