freq,wstatus,unit,geo,time,value,geo_label
A,EMP,PC,AT,2010,10.5,Austria
A,EMP,PC,AT,2011,10.8,Austria
A,EMP,PC,AT,2012,10.0,Austria
A,EMP,PC,AT,2013,10.1,Austria
A,EMP,PC,AT,2014,11.3,Austria
A,EMP,PC,AT,2015,10.7,Austria
A,EMP,PC,AT,2016,8.9,Austria
A,EMP,PC,AT,2017,7.9,Austria
A,EMP,PC,AT,2018,8.5,Austria
A,EMP,PC,AT,2019,7.6,Austria
A,EMP,PC,AT,2020,6.6,Austria
A,EMP,PC,AT,2021,6.7,Austria
A,EMP,PC,AT,2022,8.3,Austria
A,EMP,PC,AT,2023,10.4,Austria
A,EMP,PC,AT,2024,9.8,Austria
A,EMP,PC,AT,2025,8.6,Austria
A,EMP,PC,BE,2010,12.9,Belgium
A,EMP,PC,BE,2011,13.2,Belgium
A,EMP,PC,BE,2012,14.4,Belgium
A,EMP,PC,BE,2013,13.1,Belgium
A,EMP,PC,BE,2014,11.7,Belgium
A,EMP,PC,BE,2015,12.4,Belgium
A,EMP,PC,BE,2016,12.6,Belgium
A,EMP,PC,BE,2017,12.2,Belgium
A,EMP,PC,BE,2018,10.8,Belgium
A,EMP,PC,BE,2019,11.2,Belgium
A,EMP,PC,BE,2020,9.3,Belgium
A,EMP,PC,BE,2021,8.5,Belgium
A,EMP,PC,BE,2022,9.3,Belgium
A,EMP,PC,BE,2023,9.6,Belgium
A,EMP,PC,BE,2024,10.1,Belgium
A,EMP,PC,BE,2025,9.1,Belgium
A,EMP,PC,BG,2010,56.8,Bulgaria
A,EMP,PC,BG,2011,52.8,Bulgaria
A,EMP,PC,BG,2012,56.4,Bulgaria
A,EMP,PC,BG,2013,55.1,Bulgaria
A,EMP,PC,BG,2014,52.7,Bulgaria
A,EMP,PC,BG,2015,52.9,Bulgaria
A,EMP,PC,BG,2016,50.7,Bulgaria
A,EMP,PC,BG,2017,47.9,Bulgaria
A,EMP,PC,BG,2018,45.5,Bulgaria
A,EMP,PC,BG,2019,38.5,Bulgaria
A,EMP,PC,BG,2020,31.8,Bulgaria
A,EMP,PC,BG,2021,26.6,Bulgaria
A,EMP,PC,BG,2022,29.4,Bulgaria
A,EMP,PC,BG,2023,23.7,Bulgaria
A,EMP,PC,BG,2024,28.4,Bulgaria
A,EMP,PC,BG,2025,27.0,Bulgaria
A,EMP,PC,CY,2010,48.3,Cyprus
A,EMP,PC,CY,2011,49.3,Cyprus
A,EMP,PC,CY,2012,45.4,Cyprus
A,EMP,PC,CY,2013,53.3,Cyprus
A,EMP,PC,CY,2014,54.3,Cyprus
A,EMP,PC,CY,2015,52.1,Cyprus
A,EMP,PC,CY,2016,54.0,Cyprus
A,EMP,PC,CY,2017,35.0,Cyprus
A,EMP,PC,CY,2018,39.5,Cyprus
A,EMP,PC,CY,2019,29.4,Cyprus
A,EMP,PC,CY,2020,20.2,Cyprus
A,EMP,PC,CY,2021,20.0,Cyprus
A,EMP,PC,CY,2022,24.5,Cyprus
A,EMP,PC,CY,2023,18.9,Cyprus
A,EMP,PC,CY,2024,16.4,Cyprus
A,EMP,PC,CY,2025,13.5,Cyprus
A,EMP,PC,CZ,2010,21.6,Czechia
A,EMP,PC,CZ,2011,22.4,Czechia
A,EMP,PC,CZ,2012,25.0,Czechia
